,,,,,,,,,,,
,,,,,,,Comprado,#NAME?,Setor, ,5.5
,,,,,,,Tota Orçado,#NAME?,23281362.249999996,custo de importação,1.5
,,,,,,,,,,,
SETOR,COTACAO,"DT
COTACAO",PEDIDO,"DT
PEDIDO",FORNECEDOR ,PRODUTO,"QT
PEDIDA",VALOR,ORIGEM,"STATUS DA 
COMRPA ",DISCIPLINA
SETOR - AREA NOVA - GLOBAL RISER,27074,45861,38431,45861,G5 EQUIPAMENTOS E CONSTRUCAO LTDA,PERFURADOR DE SOLO À GASOLINA 52CC 1500W 2HP COM BROCA HELICOIDAL 20X80CM,1,310,BRASIL,Comprado,CIVIL
SETOR - AREA NOVA - GLOBAL RISER,27088,45861,38545,45866,PEDREIRA IMBOASSICA LTDA,BRITA CORRIDA,720,43200,BRASIL,Comprado,CIVIL
SETOR - AREA NOVA - GLOBAL RISER,27087,45861,38546,45866,MAMUTE LOCACOES COMERCIO E SERVICOS LTDA,SERVIÇO DE TERRAPLANAGEM,1,108000,BRASIL,Comprado,CIVIL
SETOR - AREA NOVA - GLOBAL RISER,27225,45869,38671,45873,COMERCIAL TJ ELETRICA E HIDRAULICA,"POSTES DE CONCRETO CURVO PARA SUSTENTAÇÃO DO ALAMBRADO 3,00 METROS ALTURA",32,3872,BRASIL,Comprado,CIVIL
SETOR - AREA NOVA - GLOBAL RISER,27225,45869,38671,45873,COMERCIAL TJ ELETRICA E HIDRAULICA,ARAME FARPADO P/ CERCA,250,175,BRASIL,Comprado,CIVIL
SETOR 1,28002,45936,40623,45974,COMERCIAL TJ ELETRICA E HIDRAULICA,"ALAMBRADO NO MODELO-ARAME GALVANIZADO REVESTIDO DE PVC ALTO ADERENTE FIO 14 MALHA 7,5CM  C/ALTUR.2M",60,2640,BRASIL,Comprado,CIVIL
SETOR 1,28002,45936,40624,45974,CENTRAL DE AÇO MACAE LTDA,"METALON 30MM X 50MM X 2,5MM",180,6296.99,BRASIL,Comprado,CIVIL
SETOR 1,29942,46001,41295,46007,MADEIREIRA IRMAOS CAMPANATI EIRELI-ME,PINUS 3 X 3 - 3MTS,15,225,BRASIL,Comprado,CIVIL
SETOR 1,29942,46001,41295,46007,MADEIREIRA IRMAOS CAMPANATI EIRELI-ME,PINUS 3 X 3 - 3MTS,15,561,BRASIL,Comprado,CIVIL
