,,Melhorias base STEP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, Realce do Período:,1,,,Duração do Plano,,,,,,Início Real,,,,,% concluída,,,,,Real (além do plano),,,,,,,% Concluída (além do planejado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIORIDADE DE EXECUÇÃO,ITEM PLANTA BAIXA,ATIVIDADE,OBSERVAÇÕES,AÇÃO,RESPONSAVEL,STATUS,DATA DE CONCLUSÃO | N° COTAÇÃO,INÍCIO DO PLANO,DURAÇÃO DO PLANO,INÍCIO REAL,DURAÇÃO REAL,PORCENTAGEM CONCLUÍDA,46055,46056,46057,46058,46059,46060,46061,46062,46063,46064,46065,46066,46067,46068,46069,46070,46071,46072,46073,46074,46075,46076,46077,46078,46079,46080,46081,46082,46083,46084,46085,46086,46087,46088,46089,46090,46091,46092,46093,46094,46095,46096,46097,46098,46099,46100,46101,46102,46103,46104,46105,46106,46107,46108,46109,46110,46111,46112,46113,46114
,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
3,01A, Realocar o posto de abastecimento de diesel.," 02/02/2026: É preciso realocar para o novo local já demarcado para iniciar a demanda 02 por conta de espaço.
06/02/2026: Material complementar previsto para suprimento total na data de hoje 06/02.
09/02/2026: Todo o material foi suprido, aguardando as condições climáticas melhorarem para dar continuidade.
26/02/2026: Parte civil finalizada, aguardando condições climaticas melhorarem para realizar a movimentação do posto atual para o novo local e realizar a ligação da estação de abastecimento. 
",DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01,Área de armazenagem de matéria prima.,"02/02/2026: Material cotado, aguardando recebimento, precisa ser realizado  a movimentação do posto de abastecimento e recurso para iniciar a demanda, se faz necessario um pedido complementar de material. ","1- Locação de bitoneira e caminhão munk.
Cotação: 40680 e 28002.",VIRGILIO,AG. MATERIAL,,0,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,02,Central de corte | Usinagem ,"02/02/2026: Material suprido, aguardando definição da nova instalação e recurso para iniciar a demanda.
05/02/2026: Cotação da tapagem aprovada.
12/02/2026: Verificar com Hugo e Sorin sobre a instalação de painéis 380 v.
26/02/2026: Área já toda coberta, layout definido, aguardando compra de cabos para instalação dos paineis e aguardando a chegada da maquina de corte plasma.","Está sendo realizado o encaminhamento e montagem das eletrocalhas para posteiormente realizar a passagem dos cabos e a ligação dos equipamentos.
Verificar com Sorin a necessidade de instalação de um ponto de ar comprimido para utlização da plasma.","SORIN 
 HUGO
VALTER
ALESSANDER",EM ANDAMENTO,,0,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,03, Novo galpão de fabricação.,"02/02/2026: Material para a fabricação do galpão suprido, montagem em andamento.
06/02/2026: Layout da fabrica em elaboração com a Karina, com previsão de ser apresentado para aprovação hoje 06/02.
Após a aprovação, Hugo realizara o levantamento dos materiais de eletrica. 
12/02/2026: Layout precisa se revisado com alguns novos ajustes para possibilitar o levantamento de material elétrico
26/02/2026: Área liberada para utilização, falta emitir o pedido de luminarias para possibilitar o trabalho noturno mais eficiente.","1- Falta verificar parte elétrica: Cabeamento, luminárias e painéis.
","SORIN
VALTER
HUGO",EM ANDAMENTO,,1,15,1,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,04,Nova ponte rolante no galpão 04.,"02/02/2026: Avaliar com a liderança da produção e da base, a melhor opção de custo x beneficio e reeniciar estudo da infraestrutura.
12/02/2026: Aguardando atualizar a cotação para emitir a OC.",Aguardando atualização da proposta do equipamento para emitir a OC.,SORIN,AG. COTAÇÃO,,0,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,05, Galpão do TH - Movimentação pórtico ou monorail.,"02/02/2026: Avaliar com a liderança do TH e da base, a melhor opção de custo x beneficio e iniciar estudo da infraestrutura.
Construir um ""bunker"" para segurança dos operadores.
12/02/2026: EMITIR OC DO PÓRTICO",Aguardando aprovação do pedido do pórtico.,"SORIN
MARCUS
ALESSANDER
RICARDO",AG. APROVAÇÃO,,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,06, Ampliação da cabine de jato.,"02/02/2026: Iniciar estudo de ampliação da cabine de jato, instalação da rosca infinita para abastecimento dos cilos de granalha e reposicionamento dos equipamentos
26/02/2026: Pedido de material para ampliação da cabine realizado, falta definir qual processo adotar para o recolhimento da granalha pós jato.","1- Recurso externo, procurar fornecedores/propostas para execução.
2- Material necessario ja identificado, com proposta, aguardando definição se seguiremos ou não. 
3- Incluir um troller para a cabine de jato.","PAULO DAVI
ALESSANDER
RICARDO",AG. APROVAÇÃO,,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conc.,06A, Galpão de pintura menor.,"02/02/2026: Fechamento dos portões, melhoria na iluminação e exaustão para a cabine provisória.",DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,OK,OK,OK,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07, Galpão de pintura principal.,"02/02/2026: Instalação de monorail, cortinas de pintura e iluminação.
12/02/2026: EMITIR OC DO PÓRTICO",Aguardando aprovação do pedido do pórtico.,"SORIN
MARCUS
ALESSANDER
RICARDO",AG. APROVAÇÃO,,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07A, Construção de um novo galpão de pintura ao lado do galpão de pintura já existente e área de paletização.,"02/02/2026: Iniciar estudo de área disponivel por conta do fluxo de movimentações, redimensionar exaustores e linhas de incêndio","1- Aguardando apovação de propostas externas para execução
2- Aguardando projeto para levantamento de material
3-Subcontratação de cálculo estrutural (galpão) Sordi","SORIN
 PAULO DAVI
GABRIEL BARTZ",AG. PROJETO,,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07B, Nova área para os Equipamento/componentes da cabine de jato e pintura,"02/02/2026: Área selecionada para realocação dos equipamentos/componentes das cabines de jateamento e pintura.
Fazer nova revisão da planta baixa junto a prefeitura, pois essa área é considerada como ""área verde"". (Projeto Legal)
26/02/2026: Nova área já foi limpa, e escavada, aguardando a chegada dos materiais para dar continuidade na parte civil com posterior montagem dos dutos e movimentação dos componentes do equipamento.","
1- Layout aprovado no dia 03/02. A ser realizado o detalhamento de execução. Detalhamento a ser apresentado até 20/02",Gabriel Bartz,EM ANDAMENTO,,0,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07C, Laboratório de inspeção de pintura (Pull-Off),"02/02/2026: Após a movimentação de todos os equipamentos/componentes da cabine de jato e pintura, mobilizar um laboratório de inspeção de pintura
12/02/2026: Espaço já demarcado para o laboratório de inspeção de pintura, aguardando aprovação do pedido.","1- Cotação realizada, aguardando a aprovação do pedido.","PAULO DAVI
MARCUS
ALESSANDER
RICARDO",AG. APROVAÇÃO,,0,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08, Galpão de ligas especiais,02/02/2026: Verificar o melhor custo x beneficio para implementação de um pórtico ou monorail para movimentações e a melhoria de uma área de segragação de material. ,"1- Pendente análise sobre o pórtico ou monorail.
2- Após a definição, deverá ser realizado a pintura em epoxi com as devidas marcações.",SORIN,AG. COTAÇÃO,,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09,Construir o escritório para o pessoal do SMS | Treinamento.,"02/02/2026: Realizar orçamentos para construção do escritório.
12/02/2026: Verificar recurso financeiro para execução.","1- Já temos alguns orçamentos, seguem aguardando aprovação.
2- Necessario recurso externo para a fabricação das tesouras.","VALTER
MARCUS
ALESSANDER
RICARDO",AG. APROVAÇÃO,,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conc.,10,Ampliação do refeitório,02/02/2026: Ampliar o refeitório para acomodar o crescimento do efetivo da base.,DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,DEMANDA CONCLUIDA,OK,OK,OK,OK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Novo escritório da logística,02/02/2026: Realocar o escritório da logística proximo ao setor 01 para possibilitar um fluxo de processos com as etapas posteriores.,1- Realizar orçamento de material,VIRGILIO,AG. COTAÇÃO,,0,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,Tapagem da área de expedição,02/02/2026: Orçamento da cobertura já realizado.,"1- Área de tapagem foi ampliada, verificar se o orçamento feito contempla esse novo espaço.","VIRGILIO
VALTER",AG. COTAÇÃO,,0,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13, Ampliação do almoxarifado / mezanino,02/02/2026: Proposta de execução externa já realizada,2- Aguardando projeto para levantamento de material                                                                    3-Subcontratação de cálculo estrutural (galpão) Sordi,"VIRGILIO
GABRIEL BARTZ",AG. PROJETO,,0,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,Layout da mecânica/manutenção,03/02/2026: Verificar projeto. ,1- Verificar projeto. ,"VIRGILIO
GABRIEL BARTZ",AG. PROJETO,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,Prateleiras e paleteira elétrica | SUPRIMENTO,"03/02/2026: Já existe a cotação do material necessario.
12/02/2026: EMITIR OC.","Aguardando aprovação do pedido da prateleira, paleteira e fechaduras.","VIRGILIO
MARCUS
HERMANN
ALESSANDER
RICARDO",AG. APROVAÇÃO,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,Ampliação do vestiario feminino/masculino.,"09/02/2026: Está sendo realizado o estudo de ampliação do vestiario feminino e masculino.
26/02/2026: Execução em andamento, empresa FORTENGENHARIA realizando a montagem das tesouras dentro da base STEP, aguardando aprovação do pedido de compra para o restante do material para iniciar a ampliação.","Tesouras sendo fabricadas, aguardando aprovação do pedido de material para realizar a montagem.","VALTER
MARCUS
ALESSANDER
RICARDO",EM ANDAMENTO,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Atividade 22,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Atividade 23,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Atividade 24,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Atividade 25,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Atividade 26,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
