row_key;item_id;setor;cotacao;data_cotacao;pedido;data_pedido;fornecedor;produto;quantidade;valor;origem;status_compra;disciplina;source_row
xlsx-25-05-26-row-0006;;SETOR - AREA NOVA - GLOBAL RISER;27074;2025-07-23;38431;2025-07-23;G5 EQUIPAMENTOS E CONSTRUCAO LTDA;PERFURADOR DE SOLO À GASOLINA 52CC 1500W 2HP COM BROCA HELICOIDAL 20X80CM;1.0;310.0;BRASIL;Comprado;CIVIL;6
xlsx-25-05-26-row-0007;;SETOR - AREA NOVA - GLOBAL RISER;27088;2025-07-23;38545;2025-07-28;PEDREIRA IMBOASSICA LTDA;BRITA CORRIDA;720.0;43200.0;BRASIL;Comprado;CIVIL;7
xlsx-25-05-26-row-0008;;SETOR - AREA NOVA - GLOBAL RISER;27087;2025-07-23;38546;2025-07-28;MAMUTE LOCACOES COMERCIO E SERVICOS LTDA;SERVIÇO DE TERRAPLANAGEM;1.0;108000.0;BRASIL;Comprado;CIVIL;8
xlsx-25-05-26-row-0009;;SETOR - AREA NOVA - GLOBAL RISER;27225;2025-07-31;38671;2025-08-04;COMERCIAL TJ ELETRICA E HIDRAULICA;POSTES DE CONCRETO CURVO PARA SUSTENTAÇÃO DO ALAMBRADO 3,00 METROS ALTURA;32.0;3872.0;BRASIL;Comprado;CIVIL;9
xlsx-25-05-26-row-0010;;SETOR - AREA NOVA - GLOBAL RISER;27225;2025-07-31;38671;2025-08-04;COMERCIAL TJ ELETRICA E HIDRAULICA;ARAME FARPADO P/ CERCA;250.0;175.0;BRASIL;Comprado;CIVIL;10
xlsx-25-05-26-row-0011;01;SETOR 1;28002;2025-10-06;40623;2025-11-13;COMERCIAL TJ ELETRICA E HIDRAULICA;ALAMBRADO NO MODELO-ARAME GALVANIZADO REVESTIDO DE PVC ALTO ADERENTE FIO 14 MALHA 7,5CM C/ALTUR.2M;60.0;2640.0;BRASIL;Comprado;CIVIL;11
xlsx-25-05-26-row-0012;01;SETOR 1;28002;2025-10-06;40624;2025-11-13;CENTRAL DE AÇO MACAE LTDA;METALON 30MM X 50MM X 2,5MM;180.0;6296.99;BRASIL;Comprado;CIVIL;12
xlsx-25-05-26-row-0013;01;SETOR 1;29942;2025-12-10;41295;2025-12-16;MADEIREIRA IRMAOS CAMPANATI EIRELI-ME;PINUS 3 X 3 - 3MTS;15.0;225.0;BRASIL;Comprado;CIVIL;13
xlsx-25-05-26-row-0014;01;SETOR 1;29942;2025-12-10;41295;2025-12-16;MADEIREIRA IRMAOS CAMPANATI EIRELI-ME;PINUS 3 X 3 - 3MTS;15.0;561.0;BRASIL;Comprado;CIVIL;14
xlsx-25-05-26-row-0015;03;SETOR 3;;;41254;2025-12-15;EDFER - COMERCIO DE FERRO E ACO LTDA;FERRO U 4 SIMPLES 100X40 CH 3;180.0;4354.2;BRASIL;Comprado;ESTRUTURAL;15
xlsx-25-05-26-row-0016;03;SETOR 3;;;41254;2025-12-15;EDFER - COMERCIO DE FERRO E ACO LTDA;"PERFIL U 5"" SIMPLES CH 4,75";90.0;7219.8;BRASIL;Comprado;ESTRUTURAL;16
xlsx-25-05-26-row-0017;01;SETOR 1;29942;2025-12-10;41296;2025-12-16;EDFER - COMERCIO DE FERRO E ACO LTDA;PERFIL W150 X 22,50 KG/M ASTM A572 GR.50;60.0;11880.0;BRASIL;Comprado;ESTRUTURAL;17
xlsx-25-05-26-row-0018;01;SETOR 1;29942;2025-12-10;41296;2025-12-16;EDFER - COMERCIO DE FERRO E ACO LTDA;FERRO U 4 SIMPLES 100X40 CH 3;300.0;7257.0;BRASIL;Comprado;ESTRUTURAL;18
xlsx-25-05-26-row-0019;01;SETOR 1;29942;2025-12-10;41297;2025-12-16;LAGOS TELHAS LTDA;TELHA TRAPEZOIDAL GALVANIZADA 6 X 1,10 X 0,43M;50.0;14185.0;BRASIL;Comprado;ESTRUTURAL;19
xlsx-25-05-26-row-0020;01;SETOR 1;40680;2025-12-10;42720;;;ESTICADOR OLHAL GANCHO M6;20.0;0.0;BRASIL;Em Processo de Compra;CIVIL;20
xlsx-25-05-26-row-0021;01;SETOR 1;40680;2025-12-10;42720;2026-03-04;;AREIA;4.0;600.0;BRASIL;Comprado;CIVIL;21
xlsx-25-05-26-row-0022;01;SETOR 1;40680;2025-12-10;;;;PINUS 3 X 3 - 3MTS;15.0;0.0;BRASIL;Cancelado;CIVIL;22
xlsx-25-05-26-row-0023;01;SETOR 1;40680;2025-12-10;42720;2026-03-04;;PEDRA BRITADA;3.0;630.0;BRASIL;Comprado;CIVIL;23
xlsx-25-05-26-row-0024;01;SETOR 1;40680;2025-12-10;42720;2026-03-04;;"VERGALHAO CA 50 5/16""";120.0;479.0;BRASIL;Comprado;CIVIL;24
xlsx-25-05-26-row-0025;01;SETOR 1;40680;2025-12-10;42720;2026-03-04;;COLUNA DE FERRO 5/16 20X7;72.0;1188.0;BRASIL;Comprado;CIVIL;25
xlsx-25-05-26-row-0026;01;SETOR 1;40680;2025-12-10;42720;2026-03-04;;PREGO 17 X 21 COM CABECA;2.0;44.0;BRASIL;Comprado;CIVIL;26
xlsx-25-05-26-row-0027;01;SETOR 1;40680;2025-12-10;;;;PARAFUSO GALVANIZADO PARA TELHA CABEÇA 10MM X 30MM;500.0;0.0;BRASIL;Cancelado;ESTRUTURAL;27
xlsx-25-05-26-row-0028;01;SETOR 1;40680;2025-12-10;;;;"CABO DE ACO GALVANIZADO 3/8"" 6 X 19S";80.0;0.0;BRASIL;Cancelado;ESTRUTURAL;28
xlsx-25-05-26-row-0029;01;SETOR 1;40680;2025-12-10;42720;2026-03-04;;SACO DE CIMENTO CPIII;30.0;1197.0;BRASIL;Comprado;CIVIL;29
xlsx-25-05-26-row-0030;15;SETOR 15;;2026-01-22;;;FORT CONSTRUCOES COMERCIO E SERVICOS LTDA;FABRICAR E INSTALAR 3 PORTÕES - ESTOQUE;1.0;12000.0;BRASIL;Em Orçamento;ESTRUTURAL;30
xlsx-25-05-26-row-0031;01;SETOR 1;;;;;PROJECARD;DETALHAMENTOS ESTRUTURAL + PROJETO (REPLICAÇÃO DE GALPÃO PARA ARMAZENAMENTO);1.0;7960.0;BRASIL;Em Orçamento;PROJETO;31
xlsx-25-05-26-row-0032;01A;SETOR 1A - ABASTECIMENTO;23189;2025-04-09;37071;2025-04-17;MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO;LONA PLASTICA PRETA;30.0;90.6;BRASIL;Comprado;CIVIL;32
xlsx-25-05-26-row-0033;01A;SETOR 1A - ABASTECIMENTO;23189;2025-04-09;37071;2025-04-17;MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO;TELHA TRAPEZOIDAL GALVANIZADA 6 X 1,10 X 0,43M;10.0;2871.0;BRASIL;Comprado;ESTRUTURAL;33
xlsx-25-05-26-row-0034;01A;SETOR 1A - ABASTECIMENTO;23189;2025-04-09;37071;2025-04-17;MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO;IMPERMEABILIZANTE VIAPLUS 7000 FIBRAS;54.0;776.4;BRASIL;Comprado;CIVIL;34
xlsx-25-05-26-row-0035;01A;SETOR 1A - ABASTECIMENTO;23189;2025-04-09;37072;2025-04-17;JC TOLEDO MATERIAIS DE CONSTRUCAO LTDA;SACO DE CIMENTO;8.0;263.2;BRASIL;Comprado;CIVIL;35
xlsx-25-05-26-row-0036;01A;SETOR 1A - ABASTECIMENTO;23189;2025-04-09;37072;2025-04-17;JC TOLEDO MATERIAIS DE CONSTRUCAO LTDA;MALHA 4.2 Q.92 15 X 15 3 X 2;4.0;232.44;BRASIL;Comprado;CIVIL;36
xlsx-25-05-26-row-0037;01A;SETOR 1A - ABASTECIMENTO;23189;2025-04-09;37072;2025-04-17;JC TOLEDO MATERIAIS DE CONSTRUCAO LTDA;AREIA;2.0;198.0;BRASIL;Comprado;CIVIL;37
