row_key,excel_row,item_id,setor,cotacao,data_cotacao,pedido,data_pedido,fornecedor,produto,quantidade,valor,origem,status_compra,disciplina,observacao,source,metadata
xlsx-25-05-26-r0006,6,,SETOR - AREA NOVA - GLOBAL RISER,27074,2025-07-23,38431,2025-07-23,G5 EQUIPAMENTOS E CONSTRUCAO LTDA,PERFURADOR DE SOLO À GASOLINA 52CC 1500W 2HP COM BROCA HELICOIDAL 20X80CM,1.0,310.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 6, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0007,7,,SETOR - AREA NOVA - GLOBAL RISER,27088,2025-07-23,38545,2025-07-28,PEDREIRA IMBOASSICA LTDA,BRITA CORRIDA,720.0,43200.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 7, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0008,8,,SETOR - AREA NOVA - GLOBAL RISER,27087,2025-07-23,38546,2025-07-28,MAMUTE LOCACOES COMERCIO E SERVICOS LTDA,SERVIÇO DE TERRAPLANAGEM,1.0,108000.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 8, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0009,9,,SETOR - AREA NOVA - GLOBAL RISER,27225,2025-07-31,38671,2025-08-04,COMERCIAL TJ ELETRICA E HIDRAULICA,"POSTES DE CONCRETO CURVO PARA SUSTENTAÇÃO DO ALAMBRADO 3,00 METROS ALTURA",32.0,3872.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 9, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0010,10,,SETOR - AREA NOVA - GLOBAL RISER,27225,2025-07-31,38671,2025-08-04,COMERCIAL TJ ELETRICA E HIDRAULICA,ARAME FARPADO P/ CERCA,250.0,175.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 10, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0011,11,01,SETOR 1,28002,2025-10-06,40623,2025-11-13,COMERCIAL TJ ELETRICA E HIDRAULICA,"ALAMBRADO NO MODELO-ARAME GALVANIZADO REVESTIDO DE PVC ALTO ADERENTE FIO 14 MALHA 7,5CM C/ALTUR.2M",60.0,2640.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 11, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0012,12,01,SETOR 1,28002,2025-10-06,40624,2025-11-13,CENTRAL DE AÇO MACAE LTDA,"METALON 30MM X 50MM X 2,5MM",180.0,6296.99,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 12, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0013,13,01,SETOR 1,29942,2025-12-10,41295,2025-12-16,MADEIREIRA IRMAOS CAMPANATI EIRELI-ME,PINUS 3 X 3 - 3MTS,15.0,225.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 13, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0014,14,01,SETOR 1,29942,2025-12-10,41295,2025-12-16,MADEIREIRA IRMAOS CAMPANATI EIRELI-ME,PINUS 3 X 3 - 3MTS,15.0,561.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 14, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0015,15,03,SETOR 3,,,41254,2025-12-15,EDFER - COMERCIO DE FERRO E ACO LTDA,FERRO U 4 SIMPLES 100X40 CH 3,180.0,4354.2,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 15, ""original_status"": ""Comprado""}"
