item_id;area;linhas;valor_total;comprado;cancelado_mais_nao_aprovado;em_orcamento
04;Galpão 01;103;16637935,87;232493,91;16374481,96;30960,00
06;Jato;48;3352524,79;321000,25;2961017,04;70507,50
03;Fabricação;32;1104838,33;424519,35;670714,98;9604,00
09;SMS / Treinamento;2;687522,00;0,00;687522,00;0,00
07C;Laboratório Pull-Off;4;509271,55;0,00;430000,00;79271,55
07A;Pintura / Paletização;26;338841,35;63858,93;272982,42;2000,00
02;Corte / Usinagem;17;218253,36;208203,36;10050,00;0,00
SEM_VINCULO;Sem vínculo;5;155557,00;155557,00;0,00;0,00
01;Matéria-prima;27;107186,95;97026,95;0,00;10160,00
14;Vestiário;7;59207,60;59207,60;0,00;0,00
15;Suprimento;7;33891,56;21891,56;0,00;12000,00
13;Almoxarifado / Recebimento;1;27500,00;0,00;0,00;27500,00
01A;Abastecimento / descarte;18;19635,84;19635,84;0,00;0,00
07;Pintura principal;1;13915,66;0,00;13915,66;0,00
07B;Componentes jato/pintura;11;12160,40;12160,40;0,00;0,00
06A;Pintura menor;1;1800,00;1800,00;0,00;0,00
16;Manutenção;1;1320,00;1320,00;0,00;0,00
