setor,linhas,valor
SETOR 4,55,16562971.76
SETOR 6,48,3352524.79
SETOR 3,30,1090772.45
SETOR 9,2,687522.0
SETOR 7C,4,509271.55
SETOR 7A,26,338841.35
SETOR 2,17,218253.36
SETOR - AREA NOVA - GLOBAL RISER,5,155557.0
SETOR 1,27,107186.95
SETOR 4 - SALA DA QUALIDADE,46,67797.95
SETOR 14,7,59207.6
SETOR 15,7,33891.56
SETOR 13,1,27500.0
SETOR 1A,10,14854.2
SETOR 3 - PETROHAB,2,14065.88
SETOR 7,1,13915.66
SETOR 7B,11,12160.4
SETOR 4 - SALA EPI,2,7166.16
SETOR 1A - ABASTECIMENTO,8,4781.64
SETOR 6A,1,1800.0
SETOR 16,1,1320.0
